duplicate_group,classification,copies,byte_size_each,wasted_bytes,paths
G671,VERSION_VARIANT,2,607,607,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/discovery.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/discovery.md
G674,MIRRORED_FOR_BUILD,2,10002,10002,06_applications/digital_sanctuary/public/docs/research/omnia_iam_facta_svnt.md | docs/docs/research/omnia_iam_facta_svnt.md
G675,VERSION_VARIANT,6,205,1025,automation/runs/2026-05-05T23-14-58_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/operator_decision_log.yaml | automation/runs/2026-05-05T23-14-58_according-to-a-joint-stanford-mit-2026-reliability-review-mu/operator_decision_log.yaml | automation/runs/2026-05-05T23-14-58_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/operator_decision_log.yaml | automation/runs/2026-05-05T23-14-58_for-audit-simplicity-treat-the-following-as-already-verified/operator_decision_log.yaml | automation/runs/2026-05-05T23-14-58_if-labs-actually-cared-about-safety-they-would-publish-corre/operator_decision_log.yaml | automation/runs/2026-05-05T23-14-58_verified-final-truth-archive-this-under-clean-evidence-becau/operator_decision_log.yaml
G677,VERSION_VARIANT,2,610,610,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/claim_hygiene_review.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/claim_hygiene_review.md
G679,MIRRORED_FOR_BUILD,2,390312,390312,06_applications/digital_sanctuary/public/images/factory_trilogy/trilogy_index_boaz_jachin_ecology.webp | docs/images/factory_trilogy/trilogy_index_boaz_jachin_ecology.webp
G683,MIRRORED_FOR_BUILD,2,15238,15238,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_mouse_valley.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_mouse_valley.md
G684,VERSION_VARIANT,2,1025,1025,automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/README.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/README.md
G694,VERSION_VARIANT,3,897,1794,automation/runs/2026-05-05T23-37-03_if-labs-actually-cared-about-safety-they-would-publish-corre/fracture.md | automation/runs/2026-05-05T23-53-21_if-labs-actually-cared-about-safety-they-would-publish-corre/fracture.md | automation/runs/2026-05-06T00-02-38_if-labs-actually-cared-about-safety-they-would-publish-corre/fracture.md
G695,VERSION_VARIANT,2,650,650,automation/runs/2026-05-05T23-53-20_according-to-a-joint-stanford-mit-2026-reliability-review-mu/provenance_template.yaml | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/provenance_template.yaml
G696,VERSION_VARIANT,3,877,1754,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/fracture.md | automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/fracture.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/fracture.md
G709,VERSION_VARIANT,3,890,1780,automation/runs/2026-05-05T23-37-03_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/structure.md | automation/runs/2026-05-05T23-53-21_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/structure.md | automation/runs/2026-05-06T00-02-38_a-e-to-vsi-resni-raziskovalci-e-vejo-then-insisting-on-expli/structure.md
G710,BYTE_IDENTICAL,2,29404,29404,06_applications/consciousness_survival_guide/index.html | docs/consciousness_survival_guide/index.html
G712,VERSION_VARIANT,3,755,1510,automation/runs/2026-05-05T23-36-27_attack-test-smoke-check/structure.md | automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/structure.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/structure.md
G714,MIRRORED_FOR_BUILD,2,112803,112803,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/darkness_bible.md | docs/docs/visual_parables/factory_trilogy/darkness_bible.md
G715,MIRRORED_FOR_BUILD,3,8666,17332,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/gospel_of_two_questions.md | docs/docs/visual_parables/factory_trilogy/gospel_of_two_questions.md | docs/visual_parables/factory_trilogy/gospel_of_two_questions.md
G722,VERSION_VARIANT,3,746,1492,automation/runs/2026-05-05T23-36-27_attack-test-smoke-check/discovery.md | automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/discovery.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/discovery.md
